data,tasso_positivita,tasso_positivita_GaussianProcesses,tasso_positivita_MultilayerPerceptron,tasso_positivita_LinearRegression,tasso_positivita_SMOreg
2020-12-29,8.718347,,,,
2020-12-30,9.58443,,,,
2020-12-31,12.621772,,,,
2021-01-01,14.100074,,,,
2021-01-02,17.612469,,,,
2021-01-03,13.833589,,,,
2021-01-04,13.847397,,,,
2021-01-05,11.382174,,,,
2021-01-06,11.383794,,,,
2021-01-07,14.858792,,,,
2021-01-08,12.499733,,,,
2021-01-09,11.607086,,,,
2021-01-10,13.328038,,,,
2021-01-11,13.672864,,,,
2021-01-12,10.054998,,,,
2021-01-13,8.991672,,,,
2021-01-14,10.739484,,,,
2021-01-15,5.903344,,,,
2021-01-16,6.239384,,,,
2021-01-17,5.943301,,,,
2021-01-18,5.561718,,,,
2021-01-19,4.131539,,,,
2021-01-20,4.850909,,,,
2021-01-21,5.261486,,,,
2021-01-22,5.149814,,,,
2021-01-23,4.6558,,,,
2021-01-24,5.378542,,,,
2021-01-25,6.745397,,,,
2021-01-26,4.133257,,,,
2021-01-27,5.175477,,,,
2021-01-28,5.215201,,,,
2021-01-29,5.050791,,,,
2021-01-30,4.266635,,,,
2021-01-31,5.273617,,,,
2021-02-01,5.564567,,,,
2021-02-02,3.952068,,,,
2021-02-03,4.722044,,,,
2021-02-04,5.05623,,,,
2021-02-05,5.256056,,,,
2021-02-06,4.759797,,,,
2021-02-07,5.62941,,,,
2021-02-08,5.524364,,,,
2021-02-09,3.875842,,,,
2021-02-10,4.165997,,,,
2021-02-11,5.177536,,,,
2021-02-12,4.835564,,,,
2021-02-13,4.65763,,,,
2021-02-14,5.382169,,,,
2021-02-15,4.100336,,,,
2021-02-16,3.790248,,,,
2021-02-17,4.10107,,,,
2021-02-18,4.770885,,,,
2021-02-19,5.209539,,,,
2021-02-20,4.878168,,,,
2021-02-21,5.359661,,,,
2021-02-22,5.642402,,,,
2021-02-23,4.381767,,,,
2021-02-24,4.827082,,,,
2021-02-25,5.622215,,,,
2021-02-26,6.299554,,,,
2021-02-27,5.855495,,,,
2021-02-28,6.791195,,,,
2021-03-01,7.6855,,,,
2021-03-02,5.084483,,,,
2021-03-03,5.81915,,,,
2021-03-04,6.732227,,,,
2021-03-05,6.350951,,,,
2021-03-06,6.658986,,,,
2021-03-07,7.652873,,,,
2021-03-08,7.527452,,,,
2021-03-09,5.708265,,,,
2021-03-10,6.206791,,,,
2021-03-11,6.897321,,,,
2021-03-12,7.256869,,,,
2021-03-13,6.988181,,,,
2021-03-14,7.780163,,,,
2021-03-15,8.528336,,,,
2021-03-16,5.52176,,,,
2021-03-17,6.247629,,,,
2021-03-18,7.049022,,,,
2021-03-19,7.054125,,,,
2021-03-20,6.723087,,,,
2021-03-21,7.275359,,,,
2021-03-22,8.183409,,,,
2021-03-23,5.598334,,,,
2021-03-24,5.846325,,,,
2021-03-25,6.809701,,,,
2021-03-26,6.757244,,,,
2021-03-27,6.658526,,,,
2021-03-28,7.19134,,,,
2021-03-29,8.242659,,,,
2021-03-30,5.312045,,,,
2021-03-31,6.413627,,,,
2021-04-01,6.638409,,,,
2021-04-02,6.622901,,,,
2021-04-03,5.918756,,,,
2021-04-04,7.183192,,,,
2021-04-05,10.38961,,,,
2021-04-06,6.875764,,,,
2021-04-07,4.032488,,,,
2021-04-08,4.755054,,,,
2021-04-09,5.426314,,,,
2021-04-10,5.246042,,,,
2021-04-11,6.221256,,,,
2021-04-12,5.134944,,,,
2021-04-13,4.408997,,,,
2021-04-14,4.829642,,,,
2021-04-15,5.310465,,,,
2021-04-16,4.865061,,,,
2021-04-17,4.63323,,,,
2021-04-18,5.516348,,,,
2021-04-19,6.04111,,,,
2021-04-20,4.106174,,,,
2021-04-21,3.955044,,,,
2021-04-22,4.399623,,,,
2021-04-23,4.675641,,,,
2021-04-24,4.307313,,,,
2021-04-25,5.494359,,,,
2021-04-26,5.790741,,,,
2021-04-27,3.43668,,,,
2021-04-28,3.979651,,,,
2021-04-29,4.338408,,,,
2021-04-30,3.969053,,,,
2021-05-01,3.428062,,,,
2021-05-02,5.831506,,,,
2021-05-03,4.882253,,,,
2021-05-04,2.889327,,,,
2021-05-05,3.235331,,,,
2021-05-06,3.636952,,,,
2021-05-07,3.21169,,,,
2021-05-08,3.006772,,,,
2021-05-09,3.668929,,,,
2021-05-10,3.907692,,,,
2021-05-11,2.425042,,,,
2021-05-12,2.559789,,,,
2021-05-13,2.816818,,,,
2021-05-14,2.537678,,,,
2021-05-15,2.259693,,,,
2021-05-16,2.839964,,,,
2021-05-17,2.905217,,,,
2021-05-18,1.693651,,,,
2021-05-19,1.916757,,,,
2021-05-20,2.286914,,,,
2021-05-21,1.934427,,,,
2021-05-22,1.645831,,,,
2021-05-23,2.226979,,,,
2021-05-24,2.316689,,,,
2021-05-25,1.276094,,,,
2021-05-26,1.508649,,,,
2021-05-27,1.69982,,,,
2021-05-28,1.495732,,,,
2021-05-29,1.35487,,,,
2021-05-30,1.79276,,,,
2021-05-31,2.092507,,,,
2021-06-01,1.119386,,,,
2021-06-02,1.280317,,,,
2021-06-03,2.015712,,,,
2021-06-04,1.157333,,,,
2021-06-05,1.020819,,,,
2021-06-06,1.517091,,,,
2021-06-07,1.505315,,,,
2021-06-08,0.858241,,,,
2021-06-09,1.005312,,,,
2021-06-10,1.105146,,,,
2021-06-11,0.873581,,,,
2021-06-12,0.809049,,,,
2021-06-13,1.036262,,,,
2021-06-14,1.149149,,,,
2021-06-15,0.590011,,,,
2021-06-16,0.689068,,,,
2021-06-17,0.661458,,,,
2021-06-18,0.530955,,,,
2021-06-19,0.478823,,,,
2021-06-20,0.585297,,,,
2021-06-21,0.60549,,,,
2021-06-22,0.432907,,,,
2021-06-23,0.480228,,,,
2021-06-24,0.492585,,,,
2021-06-25,0.391086,,,,
2021-06-26,0.373286,,,,
2021-06-27,0.568384,,,,
2021-06-28,0.51278,,,,
2021-06-29,0.356178,,,,
2021-06-30,0.419423,,,,
2021-07-01,0.467969,,,,
2021-07-02,0.398518,,,,
2021-07-03,0.408544,,,,
2021-07-04,0.57046,,,,
2021-07-05,0.643009,,,,
2021-07-06,0.471355,,,,
2021-07-07,0.567489,,,,
2021-07-08,0.797246,,,,
2021-07-09,0.705863,,,,
2021-07-10,0.671724,,,,
2021-07-11,0.970474,,,,
2021-07-12,1.206997,,,,
2021-07-13,0.796705,,,,
2021-07-14,1.022322,,,,
2021-07-15,1.285865,,,,
2021-07-16,1.409519,,,,
2021-07-17,1.274934,,,,
2021-07-18,1.892067,,,,
2021-07-19,2.325764,,,,
2021-07-20,1.626849,,,,
2021-07-21,1.811593,,,,
2021-07-22,2.300958,,,,
2021-07-23,2.164243,,,,
2021-07-24,1.9851,,,,
